,oru,odc_location
0,1,"(-3.0882528571428574, -60.038177142857144)"
1,2,"(-3.0882528571428574, -60.038177142857144)"
2,3,"(-3.0882528571428574, -60.038177142857144)"
3,4,"(-3.0882528571428574, -60.038177142857144)"
4,5,"(-3.0882528571428574, -60.038177142857144)"
5,6,"(-3.0882528571428574, -60.038177142857144)"
6,7,"(-3.120938363636364, -60.01355145454546)"
7,8,"(-3.120938363636364, -60.01355145454546)"
8,9,"(-3.120938363636364, -60.01355145454546)"
9,10,"(-3.1012065, -60.0558665)"
10,11,"(-3.1012065, -60.0558665)"
11,12,"(-3.1012065, -60.0558665)"
12,13,"(-3.1029862500000003, -60.01875)"
13,14,"(-3.1029862500000003, -60.01875)"
14,15,"(-3.1029862500000003, -60.01875)"
15,16,"(-3.1334868333333334, -60.02149375)"
16,17,"(-3.1334868333333334, -60.02149375)"
17,18,"(-3.1334868333333334, -60.02149375)"
18,19,"(-3.1029862500000003, -60.01875)"
19,20,"(-3.1029862500000003, -60.01875)"
20,21,"(-3.1029862500000003, -60.01875)"
21,22,"(-3.0833766666666667, -60.00881833333333)"
22,23,"(-3.0833766666666667, -60.00881833333333)"
23,24,"(-3.0833766666666667, -60.00881833333333)"
24,25,"(-3.120938363636364, -60.01355145454546)"
25,26,"(-3.120938363636364, -60.01355145454546)"
26,27,"(-3.120938363636364, -60.01355145454546)"
27,28,"(-3.0882528571428574, -60.038177142857144)"
28,29,"(-3.0882528571428574, -60.038177142857144)"
29,30,"(-3.0882528571428574, -60.038177142857144)"
30,31,"(-3.1029862500000003, -60.01875)"
31,32,"(-3.1029862500000003, -60.01875)"
32,33,"(-3.1029862500000003, -60.01875)"
33,34,"(-3.0833766666666667, -60.00881833333333)"
34,35,"(-3.0833766666666667, -60.00881833333333)"
35,36,"(-3.0833766666666667, -60.00881833333333)"
36,37,"(-3.118053333333333, -59.99259333333333)"
37,38,"(-3.118053333333333, -59.99259333333333)"
38,39,"(-3.118053333333333, -59.99259333333333)"
39,40,"(-3.1334868333333334, -60.02149375)"
40,41,"(-3.1334868333333334, -60.02149375)"
41,42,"(-3.1334868333333334, -60.02149375)"
42,43,"(-3.1029862500000003, -60.01875)"
43,44,"(-3.1029862500000003, -60.01875)"
44,45,"(-3.1029862500000003, -60.01875)"
45,46,"(-3.120938363636364, -60.01355145454546)"
46,47,"(-3.120938363636364, -60.01355145454546)"
47,48,"(-3.120938363636364, -60.01355145454546)"
48,49,"(-3.0882528571428574, -60.038177142857144)"
49,50,"(-3.0882528571428574, -60.038177142857144)"
50,51,"(-3.0882528571428574, -60.038177142857144)"
51,52,"(-3.0911125, -59.991595000000004)"
52,53,"(-3.0911125, -59.991595000000004)"
53,54,"(-3.0911125, -59.991595000000004)"
54,55,"(-3.120938363636364, -60.01355145454546)"
55,56,"(-3.120938363636364, -60.01355145454546)"
56,57,"(-3.120938363636364, -60.01355145454546)"
57,58,"(-3.1019916666666667, -60.00106666666667)"
58,59,"(-3.1019916666666667, -60.00106666666667)"
59,60,"(-3.1019916666666667, -60.00106666666667)"
60,61,"(-3.0911125, -59.991595000000004)"
61,62,"(-3.0911125, -59.991595000000004)"
62,63,"(-3.0911125, -59.991595000000004)"
63,64,"(-3.120938363636364, -60.01355145454546)"
64,65,"(-3.120938363636364, -60.01355145454546)"
65,66,"(-3.120938363636364, -60.01355145454546)"
66,67,"(-3.120938363636364, -60.01355145454546)"
67,68,"(-3.120938363636364, -60.01355145454546)"
68,69,"(-3.120938363636364, -60.01355145454546)"
69,70,"(-3.1029862500000003, -60.01875)"
70,71,"(-3.1029862500000003, -60.01875)"
71,72,"(-3.1029862500000003, -60.01875)"
