,odc_locations,capacities
0,"(-5.80056, -35.21111)",42
1,"(-5.8846, -35.1819)",42
2,"(-5.735797, -35.254392)",42
3,"(-5.834028, -35.207972)",42
4,"(-5.855281, -35.262503)",42
5,"(-5.78611, -35.20722)",42
6,"(-5.76194, -35.27972)",42
7,"(-5.82917, -35.1825)",42
8,"(-5.86944, -35.19056)",42
9,"(-5.80944, -35.20083)",47
10,"(-5.82083, -35.215)",42
11,"(-5.772083, -35.195917)",42
12,"(-5.750972, -35.255888)",42
13,"(-5.79833, -35.18389)",42
14,"(-5.74278056, -35.28944444)",42
15,"(-5.850142, -35.206203)",42
16,"(-5.87972, -35.20194)",42
17,"(-5.728503, -35.266558)",42
18,"(-5.84327, -35.27305)",42
19,"(-5.78333, -35.19389)",42
20,"(-5.823889, -35.202278)",42
21,"(-5.862861, -35.1805)",42
22,"(-5.87167, -35.18111)",42
23,"(-5.724031, -35.247622)",42
24,"(-5.860083, -35.198833)",42
25,"(-5.881722, -35.173806)",42
26,"(-5.85194, -35.2525)",42
27,"(-5.84139, -35.18167)",42
28,"(-5.755528, -35.245867)",42
29,"(-5.81167, -35.18167)",42
30,"(-5.77833, -35.20194)",42
31,"(-5.846722, -35.215472)",42
32,"(-5.812219, -35.218442)",42
33,"(-5.79833, -35.20417)",42
34,"(-5.81833, -35.19861)",42
35,"(-5.845472, -35.200694)",42
36,"(-5.842264, -35.209264)",42
37,"(-5.81639, -35.21056)",42
38,"(-5.790444, -35.191194)",42
39,"(-5.79139, -35.21111)",42
40,"(-5.770388, -35.202861)",42
41,"(-5.873889, -35.204139)",42
42,"(-5.86139, -35.19278)",42
43,"(-5.829694, -35.212)",42
44,"(-5.78972, -35.20222)",42
45,"(-5.87556, -35.18)",42
46,"(-5.78389, -35.19944)",42
47,"(-5.762419, -35.274222)",42
48,"(-5.80366, -35.20402)",42
49,"(-5.80556, -35.20972)",42
50,"(-5.77944, -35.19778)",42
51,"(-5.82611, -35.20667)",42
52,"(-5.831416, -35.204944)",42
53,"(-5.82417, -35.21333)",42
54,"(-5.8775, -35.17722)",42
