generations,avg_obj
0,0.18103569751323156
1,0.14428933862613133
2,0.1259080730002247
3,0.11150347098350306
4,0.10023092632040527
5,0.08988671653138763
6,0.08064564509421276
7,0.07207399353098108
8,0.06392397494553444
9,0.05664663212540608
10,0.050015131168497096
11,0.04412148298740761
12,0.038528314474601165
13,0.03332442069209425
14,0.028307082941318455
15,0.023877378628244416
16,0.019727350120141228
17,0.016321751544232398
18,0.013196871877303194
19,0.010327428926622003
20,0.007996866245336475
21,0.006117384884827121
22,0.00450127665310153
23,0.003000463269051869
24,0.0017715150408978853
25,0.0008322227336532904
26,0.0002428128082974596
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
