generations,avg_obj
0,-385.7340715099264
1,-385.75960634405504
2,-385.7717488221588
3,-385.7808635680469
4,-385.78886752040967
5,-385.7953935594897
6,-385.80161759747904
7,-385.8068307066025
8,-385.8113811650731
9,-385.8151737329364
10,-385.81846071739045
11,-385.82124891709793
12,-385.82351420794004
13,-385.82587541491824
14,-385.82786381796706
15,-385.8296782661678
16,-385.83124263012974
17,-385.8323839633626
18,-385.833082921245
19,-385.8333333333333
20,-385.8333333333333
21,-385.8333333333333
22,-385.8333333333333
23,-385.8333333333333
24,-385.8333333333333
25,-385.8333333333333
26,-385.8333333333333
27,-385.8333333333333
28,-385.8333333333333
29,-385.8333333333333
30,-385.8333333333333
31,-385.8333333333333
32,-385.8333333333333
33,-385.8333333333333
34,-385.8333333333333
35,-385.8333333333333
36,-385.8333333333333
37,-385.8333333333333
38,-385.8333333333333
39,-385.8333333333333
40,-385.8333333333333
41,-385.8333333333333
42,-385.8333333333333
43,-385.8333333333333
44,-385.8333333333333
45,-385.8333333333333
46,-385.8333333333333
47,-385.8333333333333
48,-385.8333333333333
49,-385.8333333333333
50,-385.8333333333333
51,-385.8333333333333
52,-385.8333333333333
53,-385.8333333333333
54,-385.8333333333333
55,-385.8333333333333
56,-385.8333333333333
57,-385.8333333333333
58,-385.8333333333333
59,-385.8333333333333
