generations,avg_obj
0,0.18404865001799187
1,0.14207048370202038
2,0.12286329955210126
3,0.10786295224066846
4,0.09479846929362287
5,0.08357248062629431
6,0.07448216927924843
7,0.06682624605902612
8,0.05973090929556037
9,0.05261352332583941
10,0.04639674594355848
11,0.04044215664837848
12,0.034416648441509226
13,0.029007662407551302
14,0.024249517938623563
15,0.020248793181722655
16,0.016693271084226965
17,0.013714187178142975
18,0.01099591083662533
19,0.008625494254037734
20,0.006502004061271326
21,0.0046046646000774604
22,0.0031337081168224933
23,0.001910556766782126
24,0.0009004513550451228
25,9.102011817078675e-05
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
