generations,avg_obj
0,0.19350394203674423
1,0.147735578804252
2,0.125365857436549
3,0.10889232712111256
4,0.09375910983979095
5,0.08007047511877136
6,0.0682240022453154
7,0.05741260240849585
8,0.04669317503686442
9,0.03817835721299299
10,0.03005301859705655
11,0.023567692624398506
12,0.018163192984687045
13,0.013635225891617545
14,0.009465053128335977
15,0.006096255453294033
16,0.0037068064851454225
17,0.0017616340440098533
18,0.0004050783781445341
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
