generations,avg_obj
0,-659.837995872177
1,-659.8694757904575
2,-659.8843172289592
3,-659.8958646684189
4,-659.9058145378426
5,-659.9139832985245
6,-659.9207507867224
7,-659.9259784354138
8,-659.9306133996287
9,-659.9348534042593
10,-659.938586527949
11,-659.9417615517297
12,-659.9444425214069
13,-659.9467958717343
14,-659.9488669588851
15,-659.9503318380841
16,-659.9513466537155
17,-659.9513466537155
18,-659.9513466537155
19,-659.9513466537155
20,-659.9513466537155
21,-659.9513466537155
22,-659.9513466537155
23,-659.9513466537155
24,-659.9513466537155
25,-659.9513466537155
26,-659.9513466537155
27,-659.9513466537155
28,-659.9513466537155
29,-659.9513466537155
30,-659.9513466537155
31,-659.9513466537155
32,-659.9513466537155
33,-659.9513466537155
34,-659.9513466537155
35,-659.9513466537155
36,-659.9513466537155
37,-659.9513466537155
38,-659.9513466537155
39,-659.9513466537155
40,-659.9513466537155
41,-659.9513466537155
42,-659.9513466537155
43,-659.9513466537155
44,-659.9513466537155
45,-659.9513466537155
46,-659.9513466537155
47,-659.9513466537155
48,-659.9513466537155
49,-659.9513466537155
50,-659.9513466537155
51,-659.9513466537155
52,-659.9513466537155
53,-659.9513466537155
54,-659.9513466537155
55,-659.9513466537155
56,-659.9513466537155
57,-659.9513466537155
58,-659.9513466537155
59,-659.9513466537155
