,odc_locations,capacities
0,"(-3.102186, -60.050536)",210
1,"(-3.04124, -59.930695)",168
2,"(-3.1135985, -60.012653)",168
3,"(-3.052775, -59.988335)",84
4,"(-3.00917, -59.99083)",42
5,"(-3.08185, -60.02713)",126
6,"(-3.103565, -59.996296666666666)",252
7,"(-3.079763333333333, -60.07498666666667)",126
8,"(-3.0201866666666666, -59.94629333333334)",126
9,"(-3.133951111111111, -60.022777777777776)",378
10,"(-3.07778, -60.003609999999995)",84
11,"(-3.08949, -60.039030000000004)",180
12,"(-3.1025560000000003, -60.021778)",210
13,"(-3.10361, -59.95667)",42
14,"(-3.07222, -59.94861)",42
15,"(-2.97417, -59.99028)",42
16,"(-3.06472, -60.04361)",84
17,"(-3.1236775, -59.998960000000004)",168
18,"(-3.116573333333333, -60.04417)",126
19,"(-3.03916, -59.91035)",42
20,"(-3.02917, -59.97694)",42
21,"(-3.07056, -60.0175)",84
22,"(-3.098583, -60.065469666666665)",126
23,"(-3.086175, -60.011422499999995)",168
24,"(-3.0313749999999997, -59.991205)",84
25,"(-3.0840300000000003, -60.05722)",84
26,"(-3.123346, -60.01817425)",336
27,"(-3.1, -60.0104175)",168
28,"(-3.143782, -60.009315)",42
29,"(-3.0890766666666667, -59.99101666666667)",126
