generations,avg_obj
0,0.1940069890460526
1,0.14546463752379712
2,0.12198872030777398
3,0.10377518320042997
4,0.08901726717196697
5,0.07648400554215495
6,0.06504181006506456
7,0.0548039786173608
8,0.04578267438813351
9,0.03725777651703102
10,0.029689813216437506
11,0.02349866314534097
12,0.018003304984643035
13,0.013278361550737335
14,0.009261356986467722
15,0.005708420998334642
16,0.002833709041036175
17,0.0010495141505492203
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
