generations,avg_obj
0,-659.908964237856
1,-659.9268295125904
2,-659.9368599051728
3,-659.944076653187
4,-659.950504770889
5,-659.9554842018464
6,-659.9598035633283
7,-659.9637975903245
8,-659.9677445103252
9,-659.9713039470294
10,-659.9746480908584
11,-659.9775041642451
12,-659.9804126656643
13,-659.9832033912476
14,-659.9855950248692
15,-659.9878191670183
16,-659.9896561421289
17,-659.991325778289
18,-659.9929768144287
19,-659.9944985667698
20,-659.9956753028305
21,-659.9967516297156
22,-659.9977265978987
23,-659.9985369958612
24,-659.9991561114693
25,-659.9995780538708
26,-659.9999160276457
27,-660.0
28,-660.0
29,-660.0
30,-660.0
31,-660.0
32,-660.0
33,-660.0
34,-660.0
35,-660.0
36,-660.0
37,-660.0
38,-660.0
39,-660.0
40,-660.0
41,-660.0
42,-660.0
43,-660.0
44,-660.0
45,-660.0
46,-660.0
47,-660.0
48,-660.0
49,-660.0
50,-660.0
51,-660.0
52,-660.0
53,-660.0
54,-660.0
55,-660.0
56,-660.0
57,-660.0
58,-660.0
59,-660.0
