,odc_locations,capacities
0,"(-3.1166650000000002, -60.048615)",84
1,"(-3.0201866666666666, -59.94629333333334)",126
2,"(-3.1081950000000003, -59.992085)",84
3,"(-3.09639, -60.052085)",84
4,"(-3.1150746666666667, -60.012704)",126
5,"(-3.05111, -59.99306)",42
6,"(-3.0959675, -60.0048275)",168
7,"(-3.1351185714285714, -60.02246)",294
8,"(-3.04124, -59.930695)",168
9,"(-3.077225, -60.022220000000004)",84
10,"(-2.97417, -59.99028)",42
11,"(-3.00917, -59.99083)",42
12,"(-3.09, -60.023335)",84
13,"(-3.07222, -59.94861)",42
14,"(-3.079763333333333, -60.07498666666667)",126
15,"(-3.08639, -59.98639)",42
16,"(-3.08868, -60.0416)",96
17,"(-3.06472, -60.04361)",84
18,"(-3.10361, -59.95667)",42
19,"(-3.0313749999999997, -59.991205)",84
20,"(-3.12444, -59.9975)",42
21,"(-3.07778, -59.99944)",42
22,"(-3.1019045, -60.0637595)",84
23,"(-3.03916, -59.91035)",42
24,"(-3.083265, -60.0120825)",168
25,"(-3.10605, -60.049503333333334)",126
26,"(-3.02917, -59.97694)",42
27,"(-3.143782, -60.009315)",42
28,"(-3.1280574999999997, -60.0228475)",168
29,"(-3.104166666666667, -60.022776666666665)",126
30,"(-3.1258660000000003, -60.01411133333333)",126
31,"(-3.095695, -59.99208)",84
32,"(-3.10676, -60.01444333333333)",126
33,"(-3.11639, -60.03528)",42
34,"(-3.06556, -60.01528)",42
35,"(-3.08667, -59.99583)",42
36,"(-3.0876833333333336, -60.033613333333335)",126
37,"(-3.11944, -59.98917)",42
38,"(-3.0840300000000003, -60.05722)",84
39,"(-3.105695, -59.999584999999996)",84
40,"(-3.1254150000000003, -60.004585000000006)",84
41,"(-3.05444, -59.98361)",42
42,"(-3.09194, -60.06889)",42
43,"(-3.09694, -60.01528)",42
44,"(-3.11889, -60.019816666666664)",126
