generations,avg_obj
0,-385.7348704094025
1,-385.7595993403484
2,-385.77166553970443
3,-385.781098964989
4,-385.7886510682961
5,-385.79489037676126
6,-385.8009122879848
7,-385.8062457075094
8,-385.8105381912472
9,-385.8146865805617
10,-385.8184017301448
11,-385.82163918538885
12,-385.82449167218584
13,-385.8270347222448
14,-385.8290519171005
15,-385.8306725669651
16,-385.8319410543154
17,-385.832855197227
18,-385.8333333333333
19,-385.8333333333333
20,-385.8333333333333
21,-385.8333333333333
22,-385.8333333333333
23,-385.8333333333333
24,-385.8333333333333
25,-385.8333333333333
26,-385.8333333333333
27,-385.8333333333333
28,-385.8333333333333
29,-385.8333333333333
30,-385.8333333333333
31,-385.8333333333333
32,-385.8333333333333
33,-385.8333333333333
34,-385.8333333333333
35,-385.8333333333333
36,-385.8333333333333
37,-385.8333333333333
38,-385.8333333333333
39,-385.8333333333333
40,-385.8333333333333
41,-385.8333333333333
42,-385.8333333333333
43,-385.8333333333333
44,-385.8333333333333
45,-385.8333333333333
46,-385.8333333333333
47,-385.8333333333333
48,-385.8333333333333
49,-385.8333333333333
50,-385.8333333333333
51,-385.8333333333333
52,-385.8333333333333
53,-385.8333333333333
54,-385.8333333333333
55,-385.8333333333333
56,-385.8333333333333
57,-385.8333333333333
58,-385.8333333333333
59,-385.8333333333333
