,odc_locations,capacities
0,"(-3.09417, -60.02306)",42
1,"(-3.03914, -59.93611)",42
2,"(-3.13361, -60.02083)",42
3,"(-3.02806, -59.98861)",42
4,"(-3.102419, -60.061689)",42
5,"(-3.09417, -59.99083)",42
6,"(-3.1225, -60.00556)",42
7,"(-3.06472, -60.04361)",84
8,"(-3.08429, -60.07579)",42
9,"(-3.07556, -60.01972)",42
10,"(-3.10361, -59.95667)",42
11,"(-3.09472, -60.03556)",42
12,"(-2.97417, -59.99028)",42
13,"(-3.02139, -59.94583)",84
14,"(-3.05444, -59.98361)",42
15,"(-3.08942, -60.00514)",42
16,"(-3.10889, -60.00111)",42
17,"(-3.11778, -60.01806)",42
18,"(-3.11444, -60.04806)",42
19,"(-3.07222, -59.94861)",42
20,"(-3.03916, -59.91035)",42
21,"(-3.09528, -60.05361)",42
22,"(-3.0875, -60.04028)",54
23,"(-3.10611, -60.0175)",42
24,"(-3.11028, -59.99111)",42
25,"(-3.09778, -60.00667)",42
26,"(-3.07778, -60.00778)",42
27,"(-3.08778, -60.05694)",42
28,"(-3.143782, -60.009315)",42
29,"(-3.09194, -60.06889)",42
30,"(-3.11639, -60.03528)",42
31,"(-3.00917, -59.99083)",42
32,"(-3.02917, -59.97694)",42
33,"(-3.08083, -60.03306)",42
34,"(-3.12861, -60.01306)",42
35,"(-3.04194, -59.92889)",126
36,"(-3.08583, -60.02361)",42
37,"(-3.12917, -60.02667)",42
38,"(-3.05111, -59.99306)",42
39,"(-3.11944, -59.98917)",42
40,"(-3.06556, -60.01528)",42
41,"(-3.10028, -60.02028)",42
42,"(-3.10759, -60.05268)",42
43,"(-3.08667, -59.99583)",42
44,"(-3.11417, -60.01056)",42
45,"(-3.08639, -59.98639)",42
46,"(-3.08028, -60.0575)",42
47,"(-3.03469, -59.9938)",42
48,"(-3.07778, -59.99944)",42
49,"(-3.1075, -60.045)",42
50,"(-3.12833, -60.00361)",42
51,"(-3.07889, -60.07028)",42
52,"(-3.08167, -60.01361)",42
53,"(-3.07611, -60.07889)",42
54,"(-3.10861, -60.02361)",42
55,"(-3.13444, -60.02944)",42
56,"(-3.12611, -60.02361)",42
57,"(-3.12444, -59.9975)",42
58,"(-3.09639, -60.00111)",42
59,"(-3.08778, -60.01694)",42
60,"(-3.1025, -59.99806)",42
61,"(-3.09222, -60.04556)",42
62,"(-3.13639, -60.02472)",42
63,"(-3.0875, -60.03222)",42
64,"(-3.10917, -60.0125)",42
65,"(-3.105, -60.01333)",42
66,"(-3.07889, -60.02472)",42
67,"(-3.08583, -60.01)",42
68,"(-3.12278, -60.01333)",42
69,"(-3.11361, -60.01583)",42
70,"(-3.09694, -60.01528)",42
71,"(-3.10361, -60.02444)",42
72,"(-3.10611, -59.99306)",42
73,"(-3.10306, -60.05083)",42
74,"(-3.11889, -60.04917)",42
75,"(-3.11778, -60.0225)",42
76,"(-3.13389, -60.01667)",42
77,"(-3.09722, -59.99333)",42
78,"(-3.10139, -60.06583)",42
79,"(-3.13861, -60.02167)",42
80,"(-3.126208, -60.015944)",42
81,"(-3.0975, -60.05056)",42
82,"(-3.117444, -60.011722)",42
83,"(-3.01778, -59.94722)",42
84,"(-3.12639, -60.02)",42
85,"(-3.12111, -60.01889)",42
86,"(-3.13056, -60.02111)",42
87,"(-3.13278, -60.02361)",42
88,"(-3.13611, -60.02028)",42
89,"(-3.10028, -60.00639)",42
