,odc_locations,fiberlength
0,"(-5.7999, -35.208026)",9.245135345441332
1,"(-5.729443666666667, -35.25619066666667)",9.026086390908576
2,"(-5.8672655, -35.180805)",2.9455119109125727
3,"(-5.850163666666667, -35.26268433333333)",9.277043030465276
4,"(-5.84615, -35.20790825)",7.741061517514659
5,"(-5.7621795, -35.276971)",1.8317645569495917
6,"(-5.7866988, -35.1987928)",10.076650410554961
7,"(-5.8290274, -35.2067728)",7.711491711975048
8,"(-5.8798455, -35.178231499999995)",5.992411673653512
9,"(-5.7532499999999995, -35.2508775)",3.656802186288509
10,"(-5.83528, -35.182085)",4.085701106680031
11,"(-5.77506025, -35.1996245)",6.392550131401301
12,"(-5.8636376666666665, -35.194057666666666)",5.097441040407155
13,"(-5.8768045, -35.2030395)",2.0774986033855694
14,"(-5.81840225, -35.214333)",6.685543942198758
15,"(-5.805, -35.182779999999994)",4.5105989270375115
16,"(-5.74278056, -35.28944444)",0.0
17,"(-5.8118645454545454, -35.200224545454546)",4.444677419145435
