generations,avg_obj
0,0.19768743525243407
1,0.14571585218227417
2,0.12298586516988694
3,0.1059691164055938
4,0.09193499884224533
5,0.07945825984682851
6,0.06850636176360234
7,0.058614830783748864
8,0.04903360772046651
9,0.040297848000982114
10,0.03287284856302624
11,0.026155843803089635
12,0.02041756207622773
13,0.015553344660014347
14,0.011498165327784537
15,0.007563373497360443
16,0.00461427208189641
17,0.002664457919028936
18,0.0013392363559489408
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
