generations,avg_obj
0,-385.63866587956153
1,-385.68280547440077
2,-385.70434066889976
3,-385.7202575625201
4,-385.7324659083164
5,-385.74270989274333
6,-385.75172991220114
7,-385.7591449660132
8,-385.76470100281836
9,-385.7687034988724
10,-385.7716518567208
11,-385.77363126963456
12,-385.7743953840704
13,-385.7743953840704
14,-385.7743953840704
15,-385.7743953840704
16,-385.7743953840704
17,-385.7743953840704
18,-385.7743953840704
19,-385.7743953840704
20,-385.7743953840704
21,-385.7743953840704
22,-385.7743953840704
23,-385.7743953840704
24,-385.7743953840704
25,-385.7743953840704
26,-385.7743953840704
27,-385.7743953840704
28,-385.7743953840704
29,-385.7743953840704
30,-385.7743953840704
31,-385.7743953840704
32,-385.7743953840704
33,-385.7743953840704
34,-385.7743953840704
35,-385.7743953840704
36,-385.7743953840704
37,-385.7743953840704
38,-385.7743953840704
39,-385.7743953840704
40,-385.7743953840704
41,-385.7743953840704
42,-385.7743953840704
43,-385.7743953840704
44,-385.7743953840704
45,-385.7743953840704
46,-385.7743953840704
47,-385.7743953840704
48,-385.7743953840704
49,-385.7743953840704
50,-385.7743953840704
51,-385.7743953840704
52,-385.7743953840704
53,-385.7743953840704
54,-385.7743953840704
55,-385.7743953840704
56,-385.7743953840704
57,-385.7743953840704
58,-385.7743953840704
59,-385.7743953840704
