,odc_locations,capacities
0,"(-5.7999, -35.208026)",210
1,"(-5.729443666666667, -35.25619066666667)",126
2,"(-5.8672655, -35.180805)",84
3,"(-5.850163666666667, -35.26268433333333)",126
4,"(-5.84615, -35.20790825)",168
5,"(-5.7621795, -35.276971)",84
6,"(-5.7866988, -35.1987928)",210
7,"(-5.8290274, -35.2067728)",210
8,"(-5.8798455, -35.178231499999995)",168
9,"(-5.7532499999999995, -35.2508775)",84
10,"(-5.83528, -35.182085)",84
11,"(-5.77506025, -35.1996245)",168
12,"(-5.8636376666666665, -35.194057666666666)",126
13,"(-5.8768045, -35.2030395)",84
14,"(-5.81840225, -35.214333)",168
15,"(-5.805, -35.182779999999994)",84
16,"(-5.74278056, -35.28944444)",42
17,"(-5.8118645454545454, -35.200224545454546)",89
