generations,avg_obj
0,-659.9103775277131
1,-659.9282113669865
2,-659.9372610341269
3,-659.944112377246
4,-659.9496377600046
5,-659.9551985239244
6,-659.9608456242823
7,-659.965671501148
8,-659.9700254629405
9,-659.9738147934157
10,-659.9773208024607
11,-659.9803938611813
12,-659.9833540048021
13,-659.9857849322699
14,-659.9879391722858
15,-659.9897183524837
16,-659.991362667134
17,-659.9928692019992
18,-659.9942576578761
19,-659.9954679780172
20,-659.9963976237775
21,-659.9973233750734
22,-659.9981080984908
23,-659.9987695582226
24,-659.9993401643023
25,-659.9997472356403
26,-660.0
27,-660.0
28,-660.0
29,-660.0
30,-660.0
31,-660.0
32,-660.0
33,-660.0
34,-660.0
35,-660.0
36,-660.0
37,-660.0
38,-660.0
39,-660.0
40,-660.0
41,-660.0
42,-660.0
43,-660.0
44,-660.0
45,-660.0
46,-660.0
47,-660.0
48,-660.0
49,-660.0
50,-660.0
51,-660.0
52,-660.0
53,-660.0
54,-660.0
55,-660.0
56,-660.0
57,-660.0
58,-660.0
59,-660.0
