generations,avg_obj
0,-659.8380988266069
1,-659.8690548632803
2,-659.8837895511301
3,-659.8948791480217
4,-659.9042091218113
5,-659.911863446454
6,-659.9188833999065
7,-659.9250932679688
8,-659.9304364683567
9,-659.9347784835264
10,-659.9383829765569
11,-659.941550668434
12,-659.9441710721994
13,-659.9462523158885
14,-659.9479805974885
15,-659.9494841995938
16,-659.9505838483805
17,-659.9513466537155
18,-659.9513466537155
19,-659.9513466537155
20,-659.9513466537155
21,-659.9513466537155
22,-659.9513466537155
23,-659.9513466537155
24,-659.9513466537155
25,-659.9513466537155
26,-659.9513466537155
27,-659.9513466537155
28,-659.9513466537155
29,-659.9513466537155
30,-659.9513466537155
31,-659.9513466537155
32,-659.9513466537155
33,-659.9513466537155
34,-659.9513466537155
35,-659.9513466537155
36,-659.9513466537155
37,-659.9513466537155
38,-659.9513466537155
39,-659.9513466537155
40,-659.9513466537155
41,-659.9513466537155
42,-659.9513466537155
43,-659.9513466537155
44,-659.9513466537155
45,-659.9513466537155
46,-659.9513466537155
47,-659.9513466537155
48,-659.9513466537155
49,-659.9513466537155
50,-659.9513466537155
51,-659.9513466537155
52,-659.9513466537155
53,-659.9513466537155
54,-659.9513466537155
55,-659.9513466537155
56,-659.9513466537155
57,-659.9513466537155
58,-659.9513466537155
59,-659.9513466537155
