generations,avg_obj
0,-385.4783105628548
1,-385.5881522563828
2,-385.63169091397225
3,-385.6579795567596
4,-385.67545459961576
5,-385.6880725907723
6,-385.69662565237
7,-385.7015166228112
8,-385.7015166228112
9,-385.7015166228112
10,-385.7015166228112
11,-385.7015166228112
12,-385.7015166228112
13,-385.7015166228112
14,-385.7015166228112
15,-385.7015166228112
16,-385.7015166228112
17,-385.7015166228112
18,-385.7015166228112
19,-385.7015166228112
20,-385.7015166228112
21,-385.7015166228112
22,-385.7015166228112
23,-385.7015166228112
24,-385.7015166228112
25,-385.7015166228112
26,-385.7015166228112
27,-385.7015166228112
28,-385.7015166228112
29,-385.7015166228112
30,-385.7015166228112
31,-385.7015166228112
32,-385.7015166228112
33,-385.7015166228112
34,-385.7015166228112
35,-385.7015166228112
36,-385.7015166228112
37,-385.7015166228112
38,-385.7015166228112
39,-385.7015166228112
40,-385.7015166228112
41,-385.7015166228112
42,-385.7015166228112
43,-385.7015166228112
44,-385.7015166228112
45,-385.7015166228112
46,-385.7015166228112
47,-385.7015166228112
48,-385.7015166228112
49,-385.7015166228112
50,-385.7015166228112
51,-385.7015166228112
52,-385.7015166228112
53,-385.7015166228112
54,-385.7015166228112
55,-385.7015166228112
56,-385.7015166228112
57,-385.7015166228112
58,-385.7015166228112
59,-385.7015166228112
