,oru,odc_location
0,1,"(-5.755528, -35.245867)"
1,2,"(-5.755528, -35.245867)"
2,3,"(-5.755528, -35.245867)"
3,4,"(-5.80944, -35.20083)"
4,5,"(-5.80944, -35.20083)"
5,6,"(-5.80944, -35.20083)"
6,7,"(-5.80944, -35.20083)"
7,8,"(-5.80944, -35.20083)"
8,9,"(-5.80944, -35.20083)"
9,10,"(-5.80944, -35.20083)"
10,11,"(-5.80944, -35.20083)"
11,12,"(-5.79833, -35.20417)"
12,13,"(-5.79833, -35.20417)"
13,14,"(-5.79833, -35.20417)"
14,15,"(-5.80556, -35.20972)"
15,16,"(-5.80556, -35.20972)"
16,17,"(-5.80556, -35.20972)"
17,18,"(-5.8775, -35.17722)"
18,19,"(-5.8775, -35.17722)"
19,20,"(-5.8775, -35.17722)"
20,21,"(-5.87167, -35.18111)"
21,22,"(-5.87167, -35.18111)"
22,23,"(-5.87167, -35.18111)"
23,24,"(-5.86139, -35.19278)"
24,25,"(-5.86139, -35.19278)"
25,26,"(-5.86139, -35.19278)"
26,27,"(-5.78972, -35.20222)"
27,28,"(-5.78972, -35.20222)"
28,29,"(-5.78972, -35.20222)"
29,30,"(-5.81167, -35.18167)"
30,31,"(-5.81167, -35.18167)"
31,32,"(-5.81167, -35.18167)"
32,33,"(-5.82083, -35.215)"
33,34,"(-5.82083, -35.215)"
34,35,"(-5.82083, -35.215)"
35,36,"(-5.81639, -35.21056)"
36,37,"(-5.81639, -35.21056)"
37,38,"(-5.81639, -35.21056)"
38,39,"(-5.77833, -35.20194)"
39,40,"(-5.77833, -35.20194)"
40,41,"(-5.77833, -35.20194)"
41,42,"(-5.84139, -35.18167)"
42,43,"(-5.84139, -35.18167)"
43,44,"(-5.84139, -35.18167)"
44,45,"(-5.823889, -35.202278)"
45,46,"(-5.823889, -35.202278)"
46,47,"(-5.823889, -35.202278)"
47,48,"(-5.80056, -35.21111)"
48,49,"(-5.80056, -35.21111)"
49,50,"(-5.80056, -35.21111)"
50,51,"(-5.78611, -35.20722)"
51,52,"(-5.78611, -35.20722)"
52,53,"(-5.78611, -35.20722)"
53,54,"(-5.78389, -35.19944)"
54,55,"(-5.78389, -35.19944)"
55,56,"(-5.78389, -35.19944)"
56,57,"(-5.77944, -35.19778)"
57,58,"(-5.77944, -35.19778)"
58,59,"(-5.77944, -35.19778)"
59,60,"(-5.80366, -35.20402)"
60,61,"(-5.80366, -35.20402)"
61,62,"(-5.80366, -35.20402)"
62,63,"(-5.86944, -35.19056)"
63,64,"(-5.86944, -35.19056)"
64,65,"(-5.86944, -35.19056)"
65,66,"(-5.82917, -35.1825)"
66,67,"(-5.82917, -35.1825)"
67,68,"(-5.82917, -35.1825)"
68,69,"(-5.79139, -35.21111)"
69,70,"(-5.79139, -35.21111)"
70,71,"(-5.79139, -35.21111)"
71,72,"(-5.78333, -35.19389)"
72,73,"(-5.78333, -35.19389)"
73,74,"(-5.78333, -35.19389)"
74,75,"(-5.81833, -35.19861)"
75,76,"(-5.81833, -35.19861)"
76,77,"(-5.81833, -35.19861)"
77,78,"(-5.82417, -35.21333)"
78,79,"(-5.82417, -35.21333)"
79,80,"(-5.82417, -35.21333)"
80,81,"(-5.82611, -35.20667)"
81,82,"(-5.82611, -35.20667)"
82,83,"(-5.82611, -35.20667)"
83,84,"(-5.846722, -35.215472)"
84,85,"(-5.846722, -35.215472)"
85,86,"(-5.846722, -35.215472)"
86,87,"(-5.772083, -35.195917)"
87,88,"(-5.772083, -35.195917)"
88,89,"(-5.772083, -35.195917)"
89,90,"(-5.812219, -35.218442)"
90,91,"(-5.812219, -35.218442)"
91,92,"(-5.812219, -35.218442)"
92,93,"(-5.87556, -35.18)"
93,94,"(-5.87556, -35.18)"
94,95,"(-5.87556, -35.18)"
95,96,"(-5.862861, -35.1805)"
96,97,"(-5.862861, -35.1805)"
97,98,"(-5.862861, -35.1805)"
98,99,"(-5.87972, -35.20194)"
99,100,"(-5.87972, -35.20194)"
100,101,"(-5.87972, -35.20194)"
101,102,"(-5.873889, -35.204139)"
102,103,"(-5.873889, -35.204139)"
103,104,"(-5.873889, -35.204139)"
104,105,"(-5.790444, -35.191194)"
105,106,"(-5.790444, -35.191194)"
106,107,"(-5.790444, -35.191194)"
107,108,"(-5.855281, -35.262503)"
108,109,"(-5.855281, -35.262503)"
109,110,"(-5.855281, -35.262503)"
110,111,"(-5.762419, -35.274222)"
111,112,"(-5.762419, -35.274222)"
112,113,"(-5.762419, -35.274222)"
113,114,"(-5.735797, -35.254392)"
114,115,"(-5.735797, -35.254392)"
115,116,"(-5.735797, -35.254392)"
116,117,"(-5.74278056, -35.28944444)"
117,118,"(-5.74278056, -35.28944444)"
118,119,"(-5.74278056, -35.28944444)"
119,120,"(-5.724031, -35.247622)"
120,121,"(-5.724031, -35.247622)"
121,122,"(-5.724031, -35.247622)"
122,123,"(-5.8846, -35.1819)"
123,124,"(-5.8846, -35.1819)"
124,125,"(-5.8846, -35.1819)"
125,126,"(-5.728503, -35.266558)"
126,127,"(-5.728503, -35.266558)"
127,128,"(-5.728503, -35.266558)"
128,129,"(-5.76194, -35.27972)"
129,130,"(-5.76194, -35.27972)"
130,131,"(-5.76194, -35.27972)"
131,132,"(-5.85194, -35.2525)"
132,133,"(-5.85194, -35.2525)"
133,134,"(-5.85194, -35.2525)"
134,135,"(-5.79833, -35.18389)"
135,136,"(-5.79833, -35.18389)"
136,137,"(-5.79833, -35.18389)"
137,138,"(-5.842264, -35.209264)"
138,139,"(-5.842264, -35.209264)"
139,140,"(-5.842264, -35.209264)"
140,141,"(-5.860083, -35.198833)"
141,142,"(-5.860083, -35.198833)"
142,143,"(-5.860083, -35.198833)"
143,144,"(-5.829694, -35.212)"
144,145,"(-5.829694, -35.212)"
145,146,"(-5.829694, -35.212)"
146,147,"(-5.770388, -35.202861)"
147,148,"(-5.770388, -35.202861)"
148,149,"(-5.770388, -35.202861)"
149,150,"(-5.750972, -35.255888)"
150,151,"(-5.750972, -35.255888)"
151,152,"(-5.750972, -35.255888)"
152,153,"(-5.834028, -35.207972)"
153,154,"(-5.834028, -35.207972)"
154,155,"(-5.834028, -35.207972)"
155,156,"(-5.831416, -35.204944)"
156,157,"(-5.831416, -35.204944)"
157,158,"(-5.831416, -35.204944)"
158,159,"(-5.845472, -35.200694)"
159,160,"(-5.845472, -35.200694)"
160,161,"(-5.845472, -35.200694)"
161,162,"(-5.881722, -35.173806)"
162,163,"(-5.881722, -35.173806)"
163,164,"(-5.881722, -35.173806)"
164,165,"(-5.850142, -35.206203)"
165,166,"(-5.850142, -35.206203)"
166,167,"(-5.850142, -35.206203)"
167,168,"(-5.84327, -35.27305)"
168,169,"(-5.84327, -35.27305)"
169,170,"(-5.84327, -35.27305)"
