generations,avg_obj
0,-385.736581362315
1,-385.75946554393124
2,-385.7706504046151
3,-385.77888716977276
4,-385.78645377841343
5,-385.793298095774
6,-385.7992213322107
7,-385.8046270321291
8,-385.80998674581485
9,-385.8142441547268
10,-385.81830682403483
11,-385.82154948702106
12,-385.824251736841
13,-385.8265157203875
14,-385.82860080676915
15,-385.8302852056067
16,-385.8314799300907
17,-385.8324525163113
18,-385.8331307941442
19,-385.8333333333333
20,-385.8333333333333
21,-385.8333333333333
22,-385.8333333333333
23,-385.8333333333333
24,-385.8333333333333
25,-385.8333333333333
26,-385.8333333333333
27,-385.8333333333333
28,-385.8333333333333
29,-385.8333333333333
30,-385.8333333333333
31,-385.8333333333333
32,-385.8333333333333
33,-385.8333333333333
34,-385.8333333333333
35,-385.8333333333333
36,-385.8333333333333
37,-385.8333333333333
38,-385.8333333333333
39,-385.8333333333333
40,-385.8333333333333
41,-385.8333333333333
42,-385.8333333333333
43,-385.8333333333333
44,-385.8333333333333
45,-385.8333333333333
46,-385.8333333333333
47,-385.8333333333333
48,-385.8333333333333
49,-385.8333333333333
50,-385.8333333333333
51,-385.8333333333333
52,-385.8333333333333
53,-385.8333333333333
54,-385.8333333333333
55,-385.8333333333333
56,-385.8333333333333
57,-385.8333333333333
58,-385.8333333333333
59,-385.8333333333333
