generations,avg_obj
0,0.19692584786169479
1,0.1474679859697846
2,0.12333558725767867
3,0.10446873668863042
4,0.08936453007440641
5,0.07688591314413469
6,0.06484209069710922
7,0.0541752516478911
8,0.04559028417236891
9,0.037293505543113184
10,0.029863206377166773
11,0.023388295889007177
12,0.0176833222949814
13,0.012597222177012724
14,0.008562832465550799
15,0.005321532736505114
16,0.002784558035972799
17,0.0009562722126052571
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
