,odc_locations,fiberlength
0,"(-3.1166650000000002, -60.048615)",1.5298038668051033
1,"(-3.0201866666666666, -59.94629333333334)",1.7202591912245515
2,"(-3.1081950000000003, -59.992085)",1.535222999461051
3,"(-3.09639, -60.052085)",1.2572100918670501
4,"(-3.1150746666666667, -60.012704)",2.7808589485036674
5,"(-3.05111, -59.99306)",0.0
6,"(-3.0959675, -60.0048275)",5.824281805685146
7,"(-3.1351185714285714, -60.02246)",8.772898271752704
8,"(-3.04124, -59.930695)",3.870141738441811
9,"(-3.077225, -60.022220000000004)",2.0019772100710274
10,"(-2.97417, -59.99028)",0.0
11,"(-3.00917, -59.99083)",0.0
12,"(-3.09, -60.023335)",2.7881226846256846
13,"(-3.07222, -59.94861)",0.0
14,"(-3.079763333333333, -60.07498666666667)",4.910268394383088
15,"(-3.08639, -59.98639)",0.0
16,"(-3.08868, -60.0416)",3.540882971180368
17,"(-3.06472, -60.04361)",0.0
18,"(-3.10361, -59.95667)",0.0
19,"(-3.0313749999999997, -59.991205)",2.8072238602619186
20,"(-3.12444, -59.9975)",0.0
21,"(-3.07778, -59.99944)",0.0
22,"(-3.1019045, -60.0637595)",1.4214200186435875
23,"(-3.03916, -59.91035)",0.0
24,"(-3.083265, -60.0120825)",6.37243521180832
25,"(-3.10605, -60.049503333333334)",3.8432650859542954
26,"(-3.02917, -59.97694)",0.0
27,"(-3.143782, -60.009315)",0.0
28,"(-3.1280574999999997, -60.0228475)",4.139084176050515
29,"(-3.104166666666667, -60.022776666666665)",3.632661584870105
30,"(-3.1258660000000003, -60.01411133333333)",2.662895156923984
31,"(-3.095695, -59.99208)",1.3147757528269106
32,"(-3.10676, -60.01444333333333)",2.7675642174354658
33,"(-3.11639, -60.03528)",0.0
34,"(-3.06556, -60.01528)",0.0
35,"(-3.08667, -59.99583)",0.0
36,"(-3.0876833333333336, -60.033613333333335)",5.196959049139524
37,"(-3.11944, -59.98917)",0.0
38,"(-3.0840300000000003, -60.05722)",2.5088301712266863
39,"(-3.105695, -59.999584999999996)",2.361330111891865
40,"(-3.1254150000000003, -60.004585000000006)",2.0503960639145107
41,"(-3.05444, -59.98361)",0.0
42,"(-3.09194, -60.06889)",0.0
43,"(-3.09694, -60.01528)",0.0
44,"(-3.11889, -60.019816666666664)",2.4622137444681265
