generations,avg_obj
0,0.18191158423232265
1,0.14314199792783178
2,0.12325159980488216
3,0.10905890754948466
4,0.09743160745696378
5,0.08713861095222693
6,0.07798154215093149
7,0.07015589122205293
8,0.062417296685226595
9,0.054795180563569135
10,0.04793177462459204
11,0.04173536687459332
12,0.035850599031817136
13,0.03112072699832407
14,0.027026615559387096
15,0.023271406215284954
16,0.019575497232450723
17,0.016143421488661318
18,0.012980873402563048
19,0.010212902547470514
20,0.00783001230709999
21,0.005696628091262739
22,0.0039537604160229806
23,0.0026292318534104696
24,0.0016257031326217589
25,0.0007899380727879104
26,0.0004247200862688254
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
