,odc_locations,fiberlength
0,"(-5.80056, -35.21111)",0.0
1,"(-5.8846, -35.1819)",0.0
2,"(-5.735797, -35.254392)",0.0
3,"(-5.834028, -35.207972)",0.0
4,"(-5.855281, -35.262503)",0.0
5,"(-5.78611, -35.20722)",0.0
6,"(-5.76194, -35.27972)",0.0
7,"(-5.82917, -35.1825)",0.0
8,"(-5.86944, -35.19056)",0.0
9,"(-5.80944, -35.20083)",0.0
10,"(-5.82083, -35.215)",0.0
11,"(-5.772083, -35.195917)",0.0
12,"(-5.750972, -35.255888)",0.0
13,"(-5.79833, -35.18389)",0.0
14,"(-5.74278056, -35.28944444)",0.0
15,"(-5.850142, -35.206203)",0.0
16,"(-5.87972, -35.20194)",0.0
17,"(-5.728503, -35.266558)",0.0
18,"(-5.84327, -35.27305)",0.0
19,"(-5.78333, -35.19389)",0.0
20,"(-5.823889, -35.202278)",0.0
21,"(-5.862861, -35.1805)",0.0
22,"(-5.87167, -35.18111)",0.0
23,"(-5.724031, -35.247622)",0.0
24,"(-5.860083, -35.198833)",0.0
25,"(-5.881722, -35.173806)",0.0
26,"(-5.85194, -35.2525)",0.0
27,"(-5.84139, -35.18167)",0.0
28,"(-5.755528, -35.245867)",0.0
29,"(-5.81167, -35.18167)",0.0
30,"(-5.77833, -35.20194)",0.0
31,"(-5.846722, -35.215472)",0.0
32,"(-5.812219, -35.218442)",0.0
33,"(-5.79833, -35.20417)",0.0
34,"(-5.81833, -35.19861)",0.0
35,"(-5.845472, -35.200694)",0.0
36,"(-5.842264, -35.209264)",0.0
37,"(-5.81639, -35.21056)",0.0
38,"(-5.790444, -35.191194)",0.0
39,"(-5.79139, -35.21111)",0.0
40,"(-5.770388, -35.202861)",0.0
41,"(-5.873889, -35.204139)",0.0
42,"(-5.86139, -35.19278)",0.0
43,"(-5.829694, -35.212)",0.0
44,"(-5.78972, -35.20222)",0.0
45,"(-5.87556, -35.18)",0.0
46,"(-5.78389, -35.19944)",0.0
47,"(-5.762419, -35.274222)",0.0
48,"(-5.80366, -35.20402)",0.0
49,"(-5.80556, -35.20972)",0.0
50,"(-5.77944, -35.19778)",0.0
51,"(-5.82611, -35.20667)",0.0
52,"(-5.831416, -35.204944)",0.0
53,"(-5.82417, -35.21333)",0.0
54,"(-5.8775, -35.17722)",0.0
