,oru,odc_location
0,1,"(-3.08868, -60.0416)"
1,2,"(-3.08868, -60.0416)"
2,3,"(-3.08868, -60.0416)"
3,4,"(-3.08868, -60.0416)"
4,5,"(-3.08868, -60.0416)"
5,6,"(-3.08868, -60.0416)"
6,7,"(-3.1258660000000003, -60.01411133333333)"
7,8,"(-3.1258660000000003, -60.01411133333333)"
8,9,"(-3.1258660000000003, -60.01411133333333)"
9,10,"(-3.10605, -60.049503333333334)"
10,11,"(-3.10605, -60.049503333333334)"
11,12,"(-3.10605, -60.049503333333334)"
12,13,"(-3.10676, -60.01444333333333)"
13,14,"(-3.10676, -60.01444333333333)"
14,15,"(-3.10676, -60.01444333333333)"
15,16,"(-3.1280574999999997, -60.0228475)"
16,17,"(-3.1280574999999997, -60.0228475)"
17,18,"(-3.1280574999999997, -60.0228475)"
18,19,"(-3.10676, -60.01444333333333)"
19,20,"(-3.10676, -60.01444333333333)"
20,21,"(-3.10676, -60.01444333333333)"
21,22,"(-3.0959675, -60.0048275)"
22,23,"(-3.0959675, -60.0048275)"
23,24,"(-3.0959675, -60.0048275)"
24,25,"(-3.11889, -60.019816666666664)"
25,26,"(-3.11889, -60.019816666666664)"
26,27,"(-3.11889, -60.019816666666664)"
27,28,"(-3.0876833333333336, -60.033613333333335)"
28,29,"(-3.0876833333333336, -60.033613333333335)"
29,30,"(-3.0876833333333336, -60.033613333333335)"
30,31,"(-3.10676, -60.01444333333333)"
31,32,"(-3.10676, -60.01444333333333)"
32,33,"(-3.10676, -60.01444333333333)"
33,34,"(-3.083265, -60.0120825)"
34,35,"(-3.083265, -60.0120825)"
35,36,"(-3.083265, -60.0120825)"
36,37,"(-3.12444, -59.9975)"
37,38,"(-3.12444, -59.9975)"
38,39,"(-3.12444, -59.9975)"
39,40,"(-3.1351185714285714, -60.02246)"
40,41,"(-3.1351185714285714, -60.02246)"
41,42,"(-3.1351185714285714, -60.02246)"
42,43,"(-3.104166666666667, -60.022776666666665)"
43,44,"(-3.104166666666667, -60.022776666666665)"
44,45,"(-3.104166666666667, -60.022776666666665)"
45,46,"(-3.11889, -60.019816666666664)"
46,47,"(-3.11889, -60.019816666666664)"
47,48,"(-3.11889, -60.019816666666664)"
48,49,"(-3.0876833333333336, -60.033613333333335)"
49,50,"(-3.0876833333333336, -60.033613333333335)"
50,51,"(-3.0876833333333336, -60.033613333333335)"
51,52,"(-3.095695, -59.99208)"
52,53,"(-3.095695, -59.99208)"
53,54,"(-3.095695, -59.99208)"
54,55,"(-3.1150746666666667, -60.012704)"
55,56,"(-3.1150746666666667, -60.012704)"
56,57,"(-3.1150746666666667, -60.012704)"
57,58,"(-3.0959675, -60.0048275)"
58,59,"(-3.0959675, -60.0048275)"
59,60,"(-3.0959675, -60.0048275)"
60,61,"(-3.08667, -59.99583)"
61,62,"(-3.08667, -59.99583)"
62,63,"(-3.08667, -59.99583)"
63,64,"(-3.1258660000000003, -60.01411133333333)"
64,65,"(-3.1258660000000003, -60.01411133333333)"
65,66,"(-3.1258660000000003, -60.01411133333333)"
66,67,"(-3.11889, -60.019816666666664)"
67,68,"(-3.11889, -60.019816666666664)"
68,69,"(-3.11889, -60.019816666666664)"
69,70,"(-3.09694, -60.01528)"
70,71,"(-3.09694, -60.01528)"
71,72,"(-3.09694, -60.01528)"
72,73,"(-3.08868, -60.0416)"
73,74,"(-3.08868, -60.0416)"
74,75,"(-3.08868, -60.0416)"
75,76,"(-3.1351185714285714, -60.02246)"
76,77,"(-3.1351185714285714, -60.02246)"
77,78,"(-3.1351185714285714, -60.02246)"
78,79,"(-3.1280574999999997, -60.0228475)"
79,80,"(-3.1280574999999997, -60.0228475)"
80,81,"(-3.1280574999999997, -60.0228475)"
81,82,"(-3.1351185714285714, -60.02246)"
82,83,"(-3.1351185714285714, -60.02246)"
83,84,"(-3.1351185714285714, -60.02246)"
84,85,"(-3.1280574999999997, -60.0228475)"
85,86,"(-3.1280574999999997, -60.0228475)"
86,87,"(-3.1280574999999997, -60.0228475)"
87,88,"(-3.104166666666667, -60.022776666666665)"
88,89,"(-3.104166666666667, -60.022776666666665)"
89,90,"(-3.104166666666667, -60.022776666666665)"
90,91,"(-3.1351185714285714, -60.02246)"
91,92,"(-3.1351185714285714, -60.02246)"
92,93,"(-3.1351185714285714, -60.02246)"
93,94,"(-3.1081950000000003, -59.992085)"
