,odc_locations,fiberlength
0,"(-5.875652166666667, -35.17908933333333)",12.764314821685097
1,"(-5.7825125, -35.2003572)",27.173399140159503
2,"(-5.7621795, -35.276971)",1.8317645569495917
3,"(-5.824305111111111, -35.21013288888889)",22.641035781477346
4,"(-5.850163666666667, -35.26268433333333)",9.277043030465276
5,"(-5.729443666666667, -35.25619066666667)",9.026086390908576
6,"(-5.806732173913043, -35.203892608695654)",16.835316526774342
7,"(-5.805, -35.182779999999994)",4.5105989270375115
8,"(-5.84615, -35.20790825)",7.741061517514659
9,"(-5.7532499999999995, -35.2508775)",3.656802186288509
10,"(-5.83528, -35.182085)",4.085701106680031
11,"(-5.8689044, -35.1976504)",14.909920746581768
12,"(-5.74278056, -35.28944444)",0.0
