,odc_locations,capacities
0,"(-5.875652166666667, -35.17908933333333)",252
1,"(-5.7825125, -35.2003572)",420
2,"(-5.7621795, -35.276971)",84
3,"(-5.824305111111111, -35.21013288888889)",378
4,"(-5.850163666666667, -35.26268433333333)",126
5,"(-5.729443666666667, -35.25619066666667)",126
6,"(-5.806732173913043, -35.203892608695654)",257
7,"(-5.805, -35.182779999999994)",84
8,"(-5.84615, -35.20790825)",168
9,"(-5.7532499999999995, -35.2508775)",84
10,"(-5.83528, -35.182085)",84
11,"(-5.8689044, -35.1976504)",210
12,"(-5.74278056, -35.28944444)",42
