,oru,odc_location
0,1,"(-3.08949, -60.039030000000004)"
1,2,"(-3.08949, -60.039030000000004)"
2,3,"(-3.08949, -60.039030000000004)"
3,4,"(-3.08949, -60.039030000000004)"
4,5,"(-3.08949, -60.039030000000004)"
5,6,"(-3.08949, -60.039030000000004)"
6,7,"(-3.123346, -60.01817425)"
7,8,"(-3.123346, -60.01817425)"
8,9,"(-3.123346, -60.01817425)"
9,10,"(-3.102186, -60.050536)"
10,11,"(-3.102186, -60.050536)"
11,12,"(-3.102186, -60.050536)"
12,13,"(-3.1135985, -60.012653)"
13,14,"(-3.1135985, -60.012653)"
14,15,"(-3.1135985, -60.012653)"
15,16,"(-3.123346, -60.01817425)"
16,17,"(-3.123346, -60.01817425)"
17,18,"(-3.123346, -60.01817425)"
18,19,"(-3.1, -60.0104175)"
19,20,"(-3.1, -60.0104175)"
20,21,"(-3.1, -60.0104175)"
21,22,"(-3.086175, -60.011422499999995)"
22,23,"(-3.086175, -60.011422499999995)"
23,24,"(-3.086175, -60.011422499999995)"
24,25,"(-3.123346, -60.01817425)"
25,26,"(-3.123346, -60.01817425)"
26,27,"(-3.123346, -60.01817425)"
27,28,"(-3.08185, -60.02713)"
28,29,"(-3.08185, -60.02713)"
29,30,"(-3.08185, -60.02713)"
30,31,"(-3.1025560000000003, -60.021778)"
31,32,"(-3.1025560000000003, -60.021778)"
32,33,"(-3.1025560000000003, -60.021778)"
33,34,"(-3.086175, -60.011422499999995)"
34,35,"(-3.086175, -60.011422499999995)"
35,36,"(-3.086175, -60.011422499999995)"
36,37,"(-3.1236775, -59.998960000000004)"
37,38,"(-3.1236775, -59.998960000000004)"
38,39,"(-3.1236775, -59.998960000000004)"
39,40,"(-3.133951111111111, -60.022777777777776)"
40,41,"(-3.133951111111111, -60.022777777777776)"
41,42,"(-3.133951111111111, -60.022777777777776)"
42,43,"(-3.1025560000000003, -60.021778)"
43,44,"(-3.1025560000000003, -60.021778)"
44,45,"(-3.1025560000000003, -60.021778)"
45,46,"(-3.123346, -60.01817425)"
46,47,"(-3.123346, -60.01817425)"
47,48,"(-3.123346, -60.01817425)"
48,49,"(-3.08949, -60.039030000000004)"
49,50,"(-3.08949, -60.039030000000004)"
50,51,"(-3.08949, -60.039030000000004)"
51,52,"(-3.0890766666666667, -59.99101666666667)"
52,53,"(-3.0890766666666667, -59.99101666666667)"
53,54,"(-3.0890766666666667, -59.99101666666667)"
54,55,"(-3.1135985, -60.012653)"
55,56,"(-3.1135985, -60.012653)"
56,57,"(-3.1135985, -60.012653)"
57,58,"(-3.1, -60.0104175)"
58,59,"(-3.1, -60.0104175)"
59,60,"(-3.1, -60.0104175)"
60,61,"(-3.0890766666666667, -59.99101666666667)"
61,62,"(-3.0890766666666667, -59.99101666666667)"
62,63,"(-3.0890766666666667, -59.99101666666667)"
63,64,"(-3.123346, -60.01817425)"
64,65,"(-3.123346, -60.01817425)"
65,66,"(-3.123346, -60.01817425)"
66,67,"(-3.123346, -60.01817425)"
67,68,"(-3.123346, -60.01817425)"
68,69,"(-3.123346, -60.01817425)"
69,70,"(-3.1, -60.0104175)"
70,71,"(-3.1, -60.0104175)"
71,72,"(-3.1, -60.0104175)"
72,73,"(-3.08949, -60.039030000000004)"
73,74,"(-3.08949, -60.039030000000004)"
74,75,"(-3.08949, -60.039030000000004)"
75,76,"(-3.133951111111111, -60.022777777777776)"
76,77,"(-3.133951111111111, -60.022777777777776)"
77,78,"(-3.133951111111111, -60.022777777777776)"
78,79,"(-3.133951111111111, -60.022777777777776)"
79,80,"(-3.133951111111111, -60.022777777777776)"
80,81,"(-3.133951111111111, -60.022777777777776)"
81,82,"(-3.133951111111111, -60.022777777777776)"
82,83,"(-3.133951111111111, -60.022777777777776)"
83,84,"(-3.133951111111111, -60.022777777777776)"
84,85,"(-3.133951111111111, -60.022777777777776)"
85,86,"(-3.133951111111111, -60.022777777777776)"
86,87,"(-3.133951111111111, -60.022777777777776)"
87,88,"(-3.1025560000000003, -60.021778)"
88,89,"(-3.1025560000000003, -60.021778)"
89,90,"(-3.1025560000000003, -60.021778)"
90,91,"(-3.133951111111111, -60.022777777777776)"
91,92,"(-3.133951111111111, -60.022777777777776)"
92,93,"(-3.133951111111111, -60.022777777777776)"
93,94,"(-3.103565, -59.996296666666666)"
94,95,"(-3.103565, -59.996296666666666)"
95,96,"(-3.103565, -59.996296666666666)"
