generations,avg_obj
0,0.17881883674915008
1,0.14178286627265616
2,0.12323041928555607
3,0.10992679230991981
4,0.09811273506174104
5,0.08718886988100441
6,0.07758806935683105
7,0.06840531743127856
8,0.06052355243926203
9,0.05324938867054197
10,0.04674016655519518
11,0.041060162753450855
12,0.03542181938147684
13,0.030678552593256754
14,0.026196661702654386
15,0.022170093545940316
16,0.018228585844013816
17,0.014692546229187435
18,0.011701581963066
19,0.009229478387225857
20,0.006867194495353957
21,0.0050223866935352815
22,0.0034866472557147647
23,0.002266291821999315
24,0.001216246957388795
25,0.0004003661887362476
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
