cell_site_id,emission_designation,technology,tx_frequency,rx_frequency,azimuth,antenna_gain,back_front_relation,hpa,mechanical_elevation,polarization,antenna_height,tx_power,latitude,longitude,cell_carrier_id
622925512,100MG7W,NR,3450,3450,220,25,25,105,10,X,20,200,-3.13389,-60.01667,378dd5f8bdf62b4a
622925512,100MG7W,NR,3450,3450,320,25,25,105,6,X,20,200,-3.13389,-60.01667,378dd5f8bdf62b4b
622925512,100MG7W,NR,3450,3450,100,25,25,105,6,X,20,200,-3.13389,-60.01667,378dd5f8bdf62b4c
687297478,100MG7W,NR,3450,3450,80,23.5,25,65,10,X,45,200,-3.08583,-60.02361,378dd5f8bdf62b4d
687297478,100MG7W,NR,3450,3450,230,23.5,25,65,10,X,53,200,-3.08583,-60.02361,378dd5f8bdf62b4e
687297478,100MG7W,NR,3450,3450,350,23.5,25,65,10,X,45,200,-3.08583,-60.02361,378dd5f8bdf62b4f
687297494,100MG7W,NR,3450,3450,90,23.5,25,65,9,X,33,200,-3.13861,-60.02167,378dd5f8bdf62b50
687297494,100MG7W,NR,3450,3450,220,23.5,25,65,8,X,33,200,-3.13861,-60.02167,378dd5f8bdf62b51
687297494,100MG7W,NR,3450,3450,340,23.5,25,65,10,X,33,200,-3.13861,-60.02167,378dd5f8bdf62b52
689847076,100MG7W,NR,3450,3450,50,23.5,25,65,6,X,28,200,-3.1225,-60.00556,378dd5f8bdf62b53
689847076,100MG7W,NR,3450,3450,160,23.5,25,65,6,X,28,200,-3.1225,-60.00556,378dd5f8bdf62b54
689847076,100MG7W,NR,3450,3450,320,23.5,25,65,6,X,28,200,-3.1225,-60.00556,378dd5f8bdf62b55
689850212,100MG7W,NR,3450,3450,140,23.5,25,65,8,X,30,200,-3.11444,-60.04806,378dd5f8bdf62b56
689850212,100MG7W,NR,3450,3450,300,23.5,25,65,10,X,30,200,-3.11444,-60.04806,378dd5f8bdf62b57
689850212,100MG7W,NR,3450,3450,60,23.5,25,65,8,X,30,200,-3.11444,-60.04806,378dd5f8bdf62b58
689984073,100MG7W,NR,3450,3450,140,23.5,25,65,6,X,28,200,-3.13361,-60.02083,378dd5f8bdf62b59
689984073,100MG7W,NR,3450,3450,210,23.5,25,65,6,X,28,200,-3.13361,-60.02083,378dd5f8bdf62b5a
689984073,100MG7W,NR,3450,3450,5,23.5,25,65,6,X,28,200,-3.13361,-60.02083,378dd5f8bdf62b5b
690214944,100MG7W,NR,3450,3450,60,23.5,25,65,7,X,40,200,-3.1025,-59.99806,378dd5f8bdf62b5c
690214944,100MG7W,NR,3450,3450,330,23.5,25,65,9,X,40,200,-3.1025,-59.99806,378dd5f8bdf62b5d
690214944,100MG7W,NR,3450,3450,210,23.5,25,65,9,X,40,200,-3.1025,-59.99806,378dd5f8bdf62b5e
690371101,100MG7W,NR,3450,3450,45,23.5,25,65,6,X,41,200,-3.12861,-60.01306,378dd5f8bdf62b5f
690371101,100MG7W,NR,3450,3450,140,23.5,25,65,6,X,41,200,-3.12861,-60.01306,378dd5f8bdf62b60
690371101,100MG7W,NR,3450,3450,280,23.5,25,65,6,X,41,200,-3.12861,-60.01306,378dd5f8bdf62b61
690748981,100MG7W,NR,3450,3450,230,23.5,25,65,6,X,29,200,-3.10861,-60.02361,378dd5f8bdf62b62
690748981,100MG7W,NR,3450,3450,360,23.5,25,65,9,X,29,200,-3.10861,-60.02361,378dd5f8bdf62b63
690748981,100MG7W,NR,3450,3450,130,23.5,25,65,6,X,29,200,-3.10861,-60.02361,378dd5f8bdf62b64
690852231,100MG7W,NR,3450,3450,80,23.5,25,65,2,X,34,200,-3.09222,-60.04556,378dd5f8bdf62b65
690852231,100MG7W,NR,3450,3450,200,23.5,25,65,4,X,34,200,-3.09222,-60.04556,378dd5f8bdf62b66
690852231,100MG7W,NR,3450,3450,315,23.5,25,65,6,X,34,200,-3.09222,-60.04556,378dd5f8bdf62b67
691539375,100MG7W,NR,3450,3450,360,23.5,25,65,9,X,35,200,-3.10889,-60.00111,378dd5f8bdf62b6b
691539375,100MG7W,NR,3450,3450,140,23.5,25,65,10,X,35,200,-3.10889,-60.00111,378dd5f8bdf62b6c
691539375,100MG7W,NR,3450,3450,240,23.5,25,65,9,X,35,200,-3.10889,-60.00111,378dd5f8bdf62b6d
691539413,100MG7W,NR,3450,3450,170,23.5,25,65,6,X,31,200,-3.11361,-60.01583,378dd5f8bdf62b6e
691539413,100MG7W,NR,3450,3450,65,23.5,25,65,6,X,31,200,-3.11361,-60.01583,378dd5f8bdf62b6f
691539413,100MG7W,NR,3450,3450,300,23.5,25,65,6,X,31,200,-3.11361,-60.01583,378dd5f8bdf62b70
692960007,100MG7W,NR,3450,3450,360,23.5,25,65,6,X,40,200,-3.08639,-59.98639,378dd5f8bdf62b71
692960007,100MG7W,NR,3450,3450,270,23.5,25,65,4,X,40,200,-3.08639,-59.98639,378dd5f8bdf62b72
692960007,100MG7W,NR,3450,3450,140,23.5,25,65,6,X,40,200,-3.08639,-59.98639,378dd5f8bdf62b73
692960724,100MG7W,NR,3450,3450,360,23.5,25,65,11,X,40,200,-3.08778,-60.05694,378dd5f8bdf62b74
