Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872288,Rua Projetada,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,60,FB,Greenfield,sim,760,100462102519,25,25,65,-2,X,58,100462102519,200,-3.072889,-60.074194,G,2023-11-06,2002-10-23,,4d5c019ff9899,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872288,Rua Projetada,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,120,FB,Greenfield,sim,760,100462102519,25,25,65,-2,X,58,100462102519,200,-3.072889,-60.074194,G,2023-11-06,2002-10-23,,4d5c019ff98a3,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872288,Rua Projetada,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,290,FB,Greenfield,sim,760,100462102519,25,25,65,-2,X,58,100462102519,200,-3.072889,-60.074194,G,2023-11-06,2002-10-23,,4d5c019ff98a4,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872288,Rua Projetada,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,60,FB,Greenfield,sim,760,11471500324,12.85,28,65,-2,X,58,057731705894,40,-3.072889,-60.074194,G,2023-11-06,2002-10-23,,4d5c019ff98a5,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872288,Rua Projetada,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,120,FB,Greenfield,sim,760,11471500324,12.85,28,65,-2,X,58,057731705894,40,-3.072889,-60.074194,G,2023-11-06,2002-10-23,,4d5c019ff98a6,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872768,Avenida Joaquim Nabuco,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,290,FB,Greenfield,não,760,11471500324,12.85,28,65,-3,X,38.5,057731705894,40,-3.125556,-60.018944,G,2023-11-06,2002-10-23,,4d5c019ff98d5,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872768,Avenida Joaquim Nabuco,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,60,FB,Greenfield,não,760,100462102519,25,25,65,-3,X,38.5,100462102519,200,-3.125556,-60.018944,G,2023-11-06,2002-10-23,,4d5c019ff98de,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872768,Avenida Joaquim Nabuco,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,200,FB,Greenfield,não,760,100462102519,25,25,65,-3,X,38.5,100462102519,200,-3.125556,-60.018944,G,2023-11-06,2002-10-23,,4d5c019ff98df,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872768,Avenida Joaquim Nabuco,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,290,FB,Greenfield,não,760,100462102519,25,25,65,-3,X,38.5,100462102519,200,-3.125556,-60.018944,G,2023-11-06,2002-10-23,,4d5c019ff98e0,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872768,Avenida Joaquim Nabuco,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,60,FB,Greenfield,não,760,11471500324,12.85,28,65,-3,X,38.5,057731705894,40,-3.125556,-60.018944,G,2023-11-06,2002-10-23,,4d5c019ff98e1,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872768,Avenida Joaquim Nabuco,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,200,FB,Greenfield,não,760,11471500324,12.85,28,65,-3,X,38.5,057731705894,40,-3.125556,-60.018944,G,2023-11-06,2002-10-23,,4d5c019ff98e2,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872776,Avenida Ramos Ferreira,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,70,FB,Greenfield,não,760,100462102519,25,25,65,-2,X,42.5,100462102519,200,-3.128889,-60.0085,G,2023-11-06,2002-10-23,,4d5c019ff98ea,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872776,Avenida Ramos Ferreira,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,200,FB,Greenfield,não,760,100462102519,25,25,65,-2,X,42.5,100462102519,200,-3.128889,-60.0085,G,2023-11-06,2002-10-23,,4d5c019ff98ef,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,682872776,Avenida Ramos Ferreira,-,AM,1302603,10M0G7W,NR,SA-NSA,,3550,3550,300,FB,Greenfield,não,760,100462102519,25,25,65,-2,X,42.5,100462102519,200,-3.128889,-60.0085,G,2023-11-06,2002-10-23,,4d5c019ff98f7,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872792,Rua São Lázaro,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,20,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,48,057731705894,40,-3.134139,-59.994444,G,2023-11-06,2002-10-23,,4d5c019ff98f8,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872792,Rua São Lázaro,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,160,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,48,057731705894,40,-3.134139,-59.994444,G,2023-11-06,2002-10-23,,4d5c019ff98f9,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872792,Rua São Lázaro,-,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,290,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,48,057731705894,40,-3.134139,-59.994444,G,2023-11-06,2002-10-23,,4d5c019ff98fd,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872822,AVENIDA MINISTRO JOÃO GONÇALVES DE ARAÚJO,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,50,FB,Greenfield,não,760,011471500324,11.96,25,74,-3,X,44.7,057731705894,40,-3.128611,-59.962722,G,2023-08-04,2002-10-23,Template 2,4d5c019ff992b,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872822,AVENIDA MINISTRO JOÃO GONÇALVES DE ARAÚJO,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,200,FB,Greenfield,não,760,011471500324,11.96,25,74,-3,X,44.7,057731705894,40,-3.128611,-59.962722,G,2023-08-04,2002-10-23,Template 2,4d5c019ff992c,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872822,AVENIDA MINISTRO JOÃO GONÇALVES DE ARAÚJO,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,320,FB,Greenfield,não,760,011471500324,11.96,25,74,-3,X,44.7,057731705894,40,-3.128611,-59.962722,G,2023-08-04,2002-10-23,Template 2,4d5c019ff992d,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872881,Avenida Abiuarana,Ceasa,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,20,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,50,057731705894,40,-3.120444,-59.94975,G,2023-11-06,2002-10-23,,4d5c019ff9931,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872881,Avenida Abiuarana,Ceasa,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,140,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,50,057731705894,40,-3.120444,-59.94975,G,2023-11-06,2002-10-23,,4d5c019ff9932,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682872881,Avenida Abiuarana,Ceasa,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,260,FB,Greenfield,não,760,011471500324,15.81,26,65,-3,X,50,057731705894,40,-3.120444,-59.94975,G,2023-11-06,2002-10-23,,4d5c019ff9933,2023-12-15,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682912859,RUA LUIS ANTONY,"ENTRADA PELA VIA EPAMINONDAS, 419",AM,1302603,10M0G7W,NR,SA-NSA,,778,723,40,FB,Greenfield,não,760,056001603518,11.96,25,74,-3,X,39.5,057731705894,40,-3.129306,-60.027222,G,2023-08-04,2002-11-20,Template 2,4d5c019ffb023,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682912859,RUA LUIS ANTONY,"ENTRADA PELA VIA EPAMINONDAS, 419",AM,1302603,10M0G7W,NR,SA-NSA,,778,723,140,FB,Greenfield,não,760,056001603518,11.96,25,74,-3,X,39.5,057731705894,40,-3.129306,-60.027222,G,2023-08-04,2002-11-20,Template 2,4d5c019ffb024,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,682912859,RUA LUIS ANTONY,"ENTRADA PELA VIA EPAMINONDAS, 419",AM,1302603,10M0G7W,NR,SA-NSA,,778,723,280,FB,Greenfield,não,760,056001603518,11.96,25,74,-3,X,39.5,057731705894,40,-3.129306,-60.027222,G,2023-08-04,2002-11-20,Template 2,4d5c019ffb025,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683014110,TRAVESSA BARBOSA RODRIGUES,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,50,FB,Greenfield,não,760,056001603518,11.96,25,74,-4,X,39,057731705894,40,-3.109056,-60.001278,G,2023-08-04,2002-12-17,Template 2,4d5c019ffee29,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683014110,TRAVESSA BARBOSA RODRIGUES,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,170,FB,Greenfield,não,760,056001603518,11.96,25,74,-4,X,39,057731705894,40,-3.109056,-60.001278,G,2023-08-04,2002-12-17,Template 2,4d5c019ffee2a,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683014110,TRAVESSA BARBOSA RODRIGUES,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,240,FB,Greenfield,não,760,056001603518,11.96,25,74,-4,X,39,057731705894,40,-3.109056,-60.001278,G,2023-08-04,2002-12-17,Template 2,4d5c019ffee2b,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683014196,RUA BRANCO E SILVA,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,60,FB,Greenfield,sim,760,011471500324,12.85,28,65,-4,X,52,057731705894,40,-3.102389,-59.997944,G,2023-08-04,2002-12-17,Template 2,4d5c019ffeeae,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683014196,RUA BRANCO E SILVA,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,180,FB,Greenfield,sim,760,011471500324,12.85,28,65,-4,X,52,057731705894,40,-3.102389,-59.997944,G,2023-08-04,2002-12-17,Template 2,4d5c019ffeeaf,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,97812014,683014196,RUA BRANCO E SILVA,,AM,1302603,10M0G7W,NR,SA-NSA,,778,723,310,FB,Greenfield,sim,760,011471500324,12.85,28,65,-4,X,52,057731705894,40,-3.102389,-59.997944,G,2023-08-04,2002-12-17,Template 2,4d5c019ffeeb0,2031-03-28,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,683014196,RUA BRANCO E SILVA,,AM,1302603,100MG7W,NR,SA-NSA,,3550,3550,60,FB,Greenfield,sim,760,100462102519,25,25,65,-4,X,52,100462102519,200,-3.102389,-59.997944,G,2023-08-04,2002-12-17,Template 2,4d5c019ffeeb1,2031-03-28,,
