Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TIM S A,50409428698,010,105812021,699265681,Rua Da Pescada,,RN,2408102,100MG7W,NR,SA-NSA,,3550,3550,220,FB,Greenfield,não,760,116672103257,25,25,65,0,X,35,116672103257,200,-5.735278,-35.236167,G,2024-05-14,2015-05-15,,59c16eb8617c5,2041-12-08,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,20,FB,Greenfield,sim,760,116672103257,25,25,65,-1,X,48,116672103257,200,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,5a1432a9de858,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,140,FB,Greenfield,sim,760,116672103257,25,25,65,-1,X,48,116672103257,200,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,5a1432a9dee56,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,972371,Avenida Henrique Dias,Ao Lado Do Nº762,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,270,FB,Greenfield,sim,760,116672103257,25,25,65,0,X,48,116672103257,200,-5.766389,-35.261111,G,2023-10-24,2000-10-09,,5a1432a9df48f,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,6557007,Rua Construtor Severino Bezerra,Prédio Indust Bsc Igapó Repetidora. Torre De 100Metors De Concreto Da Tim,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,15,FB,Rooftop,não,760,116672103257,25,25,65,0,X,44,116672103257,200,-5.754472,-35.231972,G,2023-10-24,2001-03-05,,5a1432afc2402,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,6557007,Rua Construtor Severino Bezerra,Prédio Indust Bsc Igapó Repetidora. Torre De 100Metors De Concreto Da Tim,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,265,FB,Rooftop,não,760,116672103257,25,25,65,0,X,44,116672103257,200,-5.754472,-35.231972,G,2023-10-24,2001-03-05,,5a1432afc3065,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,6557007,Rua Construtor Severino Bezerra,Prédio Indust Bsc Igapó Repetidora. Torre De 100Metors De Concreto Da Tim,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,325,FB,Rooftop,não,760,116672103257,25,25,65,0,X,47,116672103257,200,-5.754472,-35.231972,G,2023-10-24,2001-03-05,,5a1432afc3c2f,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377880,Rua Sachet,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,0,FB,Greenfield,sim,760,116652103257,25,25,65,0,X,51,116652103257,200,-5.779578,-35.203344,G,2023-10-24,1999-11-16,,5a1432afe41e3,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377880,Rua Sachet,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,120,FB,Greenfield,sim,760,116652103257,25,25,65,0,X,51,116652103257,200,-5.779578,-35.203344,G,2023-10-24,1999-11-16,,5a1432afe4781,2023-12-31,,
LIC-LIC-01,TIM S A,50409428698,010,105812021,431377880,Rua Sachet,-,RN,2408102,10M0G7W,NR,SA-NSA,,3550,3550,250,FB,Greenfield,sim,760,116652103257,25,25,65,0,X,51,116652103257,200,-5.779578,-35.203344,G,2023-10-24,1999-11-16,,5a1432afe4d66,2023-12-31,,
