generations,avg_obj
0,-385.7319629044434
1,-385.7583659377441
2,-385.76978781554044
3,-385.7782043306841
4,-385.78581667583524
5,-385.79273278164356
6,-385.79920894352676
7,-385.80466842789536
8,-385.80926110731724
9,-385.81363109365276
10,-385.81749197045696
11,-385.82073544179457
12,-385.82381098282053
13,-385.82620467591397
14,-385.8282173542932
15,-385.82989462723623
16,-385.83123875965146
17,-385.8323302958035
18,-385.83300927063084
19,-385.8333333333333
20,-385.8333333333333
21,-385.8333333333333
22,-385.8333333333333
23,-385.8333333333333
24,-385.8333333333333
25,-385.8333333333333
26,-385.8333333333333
27,-385.8333333333333
28,-385.8333333333333
29,-385.8333333333333
30,-385.8333333333333
31,-385.8333333333333
32,-385.8333333333333
33,-385.8333333333333
34,-385.8333333333333
35,-385.8333333333333
36,-385.8333333333333
37,-385.8333333333333
38,-385.8333333333333
39,-385.8333333333333
40,-385.8333333333333
41,-385.8333333333333
42,-385.8333333333333
43,-385.8333333333333
44,-385.8333333333333
45,-385.8333333333333
46,-385.8333333333333
47,-385.8333333333333
48,-385.8333333333333
49,-385.8333333333333
50,-385.8333333333333
51,-385.8333333333333
52,-385.8333333333333
53,-385.8333333333333
54,-385.8333333333333
55,-385.8333333333333
56,-385.8333333333333
57,-385.8333333333333
58,-385.8333333333333
59,-385.8333333333333
