,odc_locations,fiberlength
0,"(-3.0408239999999997, -59.926626)",11.182103343796106
1,"(-3.120938363636364, -60.01355145454546)",25.07215913644642
2,"(-3.06472, -60.04361)",0.0
3,"(-3.052775, -59.988335)",3.3381507789551126
4,"(-3.0833766666666667, -60.00881833333333)",13.578275508970483
5,"(-3.1012065, -60.0558665)",13.739958346184633
6,"(-2.97417, -59.99028)",0.0
7,"(-3.1019916666666667, -60.00106666666667)",12.384682079943213
8,"(-3.10361, -59.95667)",0.0
9,"(-3.0840300000000003, -60.05722)",2.5088301712266863
10,"(-3.0882528571428574, -60.038177142857144)",12.358159183801256
11,"(-3.00917, -59.99083)",0.0
12,"(-3.07222, -59.94861)",0.0
13,"(-3.1334868333333334, -60.02149375)",22.89192507276078
14,"(-3.1029862500000003, -60.01875)",16.997796078528225
15,"(-3.0201866666666666, -59.94629333333334)",1.7202591912245515
16,"(-3.03064, -59.98645)",7.12391349370498
17,"(-3.07646, -60.0208325)",9.343857883575732
18,"(-3.118053333333333, -59.99259333333333)",6.5554223376536225
19,"(-3.114305, -60.044377499999996)",8.82682905376283
20,"(-3.0828075, -60.0734625)",8.882361774369349
21,"(-3.0911125, -59.991595000000004)",7.557651836987944
